,best_match_score,__id_left,__id_right,Course,City,State,Country,id,g_course,g_address,g_city,g_state,g_country,g_latitude,g_longitude
1542,0.8288849565063642,57_left,8897_right,The Loop (Black),Roscommon,Michigan,US,8898,Forest Dunes Golf Club - The Loop (Black),  6376 Forest Dunes Drive,Roscommon,Michigan,US,44.491448,-84.591205
1543,1.1110030966353353,58_left,9794_right,Mossy Oak Golf Club,West Point,Mississippi,US,9795,Mossy Oak Golf Club,  One Mossy Oak Drive,West Point,Mississippi,US,33.593495,-88.659456
1544,0.52935111294538,59_left,14313_right,Crosswater at Sunriver Resort,Sunriver,Oregon,US,14314,Sunriver Resort - The Links at Caldera,  17750 Caldera Springs Dr.,Sunriver,Oregon,US,43.853656,-121.437621
1545,0.7893945141208617,60_left,9155_right,The Classic at Maddens Resort,Brainerd,Minnesota,US,9156,Madden's Resort - The Classic,  11266 Pine Beach Peninsula,Brainerd,Minnesota,US,46.3965872,-94.3747945
1591,1.3119848148811637,61_left,8126_right,Bay Harbor Golf Club (Links/Quarry),Bay Harbor,Michigan,US,8127,Bay Harbor Golf Club - The Links/The Quarry,  5800 Coastal Ridge Drive,Bay Harbor,Michigan,US,45.3624499,-85.0560398
1592,1.335511997097158,62_left,15478_right,Dunes Golf and Beach Club,Myrtle Beach,South Carolina,US,15479,The Dunes Golf and Beach Club,  9000 N OCEAN BLVD,Myrtle Beach,South Carolina,US,33.7257607,-78.8401701
1594,0.8651819856011614,63_left,10639_right,Wolf Creek Golf Club,Mesquite,Nevada,US,10640,Wolf Creek Golf Course,  403 Paradise Parkway,Mesquite,Nevada,US,36.83687785,-114.05920265671853
1742,1.1176290013035823,64_left,2356_right,Red Sky Ranch and Golf Club (Norman),Wolcott,Colorado,US,2357,Red Sky Golf Club - Norman Course,  376 Red Sky Rd,Wolcott,Colorado,US,39.687773,-106.68071
1890,1.0793478518062605,65_left,8687_right,Marquette Golf Club (Greywalls),Marquette,Michigan,US,8688,Marquette Golf Club - Greywalls Course,  1075 Grove Street,Marquette,Michigan,US,46.536000764643134,-87.42844333636947
1891,0.875864449411965,66_left,18298_right,The Golf Courses of Lawsonia (Links),Green Lake,Wisconsin,US,18299,Lawsonia Golf Course - Links,  W2615 S. Valley View Drive,Green Lake,Wisconsin,US,43.829492,-89.012444
2092,1.5415884106176456,67_left,9583_right,The Wilderness at Fortune Bay,Tower,Minnesota,US,9584,The Wilderness at Fortune Bay,  1450 BOIS FORTE RD,Tower,Minnesota,US,47.821515,-92.346357
2093,0.8391221668595741,68_left,10560_right,Cascata,Boulder City,Nevada,US,10561,Cascata,  1 Cascata Drive,Boulder City,Nevada,US,35.9770654,-114.89179799664197
2094,0.010637079724296224,69_left,10318_right,Wild Horse Golf Club,Gothenburg,Nebraska,US,10319,Iron Horse Golf Club,  900 Clubhouse Drive,Ashland,Nebraska,US,41.03761505,-96.34973185958384
2144,1.5858545784235445,70_left,14587_right,Nemacolin Woodlands Resort (Mystic Rock),Farmington,Pennsylvania,US,14588,Nemacolin Woodlands Resort - Mystic Rock,  1001 Lafayette Drive,Farmington,Pennsylvania,US,39.8048512,-79.55178
2145,1.5346267137195038,71_left,12789_right,Pine Needles Lodge and Golf Club,Southern Pines,North Carolina,US,12790,Pine Needles Lodge & Golf Club,  1005 Midland Rd,Southern Pines,North Carolina,US,35.201036,-79.38397376026586
2293,1.095878824849591,72_left,18357_right,Blackwolf Run (Meadown Valleys),Kohler,Wisconsin,US,18358,Blackwolf Run Golf Course - Meadow Valleys,  1111 W Riverside Dr,Kohler,Wisconsin,US,43.7281062,-87.77243646325422
2294,1.254590456811281,73_left,9795_right,Old Waverly Golf Club,West Point,Mississippi,US,9796,Old Waverly Golf Club,  One Magnolia Drive,West Point,Mississippi,US,33.454819,-88.786123
2295,0.894516068917301,74_left,12690_right,Pinehurst Resort (No. 8),Pinehurst,North Carolina,US,12691,Pinehurst Resort - #8,  100 Centennial Boulevard,Pinehurst,North Carolina,US,35.2172393,-79.4773277
2296,0.9195696093099142,75_left,4318_right,Great Waters Course at Reynolds Plantation,Eatonton,Georgia,US,4319,Reynolds Lake Oconee - Great Waters,  112 Plantation Dr,Eatonton,Georgia,US,33.39396,-83.233561
2436,0.7996701091020114,76_left,8898_right,The Loop (Red),Roscommon,Michigan,US,8899,Forest Dunes Golf Club - The Loop (Red),  6376 Forest Dunes Drive,Roscommon,Michigan,US,44.491448,-84.591205
2437,1.0974946818305535,77_left,2355_right,Red Sky Ranch and Golf Club (Fazio),Wolcott,Colorado,US,2356,Red Sky Golf Club - Fazio Course,  376 Red Sky Rd,Wolcott,Colorado,US,39.687773,-106.68071
