,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
9996,401_left,12170_right,0.6362198565848833,1,Atunyote at Turning Stone Resort,Kaluhyat Golf Club at Turning Stone,Verona,Verona,New York,New York,US,US
9997,401_left,12172_right,0.6362198565848833,2,Atunyote at Turning Stone Resort,Shenendoah Golf Club at Turning Stone,Verona,Verona,New York,New York,US,US
9998,401_left,12171_right,0.614181587329201,3,Atunyote at Turning Stone Resort,Sandstone Hollow at Turning Stone - Sandstone Hollow,Verona,Verona,New York,New York,US,US
9999,401_left,12168_right,0.2621158368763959,4,Atunyote at Turning Stone Resort,Pleasant Knolls at Turning Stone=20,Verona,Vernon,New York,New York,US,US
10000,401_left,11957_right,-0.6080206276903357,5,Atunyote at Turning Stone Resort,The Club at Silver Lake,Verona,Perry,New York,New York,US,US
10025,402_left,1514_right,1.4361114635988534,1,Pelican Hill Golf Club (Ocean South),Pelican Hill Golf Club - The Ocean South,Newport Coast,Newport Coast,California,California,US,US
10026,403_left,16149_right,1.2365929674719824,1,Omni Barton Creek Resort (Fazio Canyons),Barton Creek Resort - Fazio Canyons,Austin,Austin,Texas,Texas,US,US
10027,403_left,16150_right,0.6927927113861564,2,Omni Barton Creek Resort (Fazio Canyons),Barton Creek Resort - Fazio Foothills,Austin,Austin,Texas,Texas,US,US
10028,404_left,4654_right,1.0026673883688655,1,Hualalai Golf Course,Hualalai Golf Club - Hualalai Course,Kailua-Kona,Kailua Kona,Hawaii,Hawaii,US,US
10029,404_left,4655_right,0.674138175365962,2,Hualalai Golf Course,Hualalai Golf Club - Ke'olu Course,Kailua-Kona,Kailua Kona,Hawaii,Hawaii,US,US
10030,405_left,14261_right,1.5929173698824397,1,Pumpkin Ridge Golf Club (Ghost Creek),Pumpkin Ridge Golf Club - Ghost Creek,North Plains,North Plains,Oregon,Oregon,US,US
10031,406_left,8241_right,0.815215264127934,1,Belvedere Golf Club,Belvedere Golf Club,Charlevoix,Charlevoix,Michigan,Michigan,US,US
10032,406_left,8253_right,0.815215264127934,2,Belvedere Golf Club,Belvedere Golf Club,Charlevoix,Charlevoix,Michigan,Michigan,US,US
10033,407_left,16920_right,1.398888607765457,1,TPC San Antonio (AT&T),TPC San Antonio - AT&T Oaks,San Antonio,San Antonio,Texas,Texas,US,US
10034,407_left,16919_right,1.346851894977155,2,TPC San Antonio (AT&T),TPC San Antonio - AT&T Canyons,San Antonio,San Antonio,Texas,Texas,US,US
10035,408_left,8494_right,1.1838775432861233,1,Boyne Highlands (Heather),Boyne Highlands Resort - The Heather,Harbor Springs,Harbor Springs,Michigan,Michigan,US,US
10036,409_left,1325_right,1.3264188224707527,1,Torrey Pines Golf Course (North),Torrey Pines Municipal Golf Course - North,La Jolla,La Jolla,California,California,US,US
10037,410_left,8049_right,1.557183707287005,1,Grand Traverse Resort and Spa (The Bear),Grand Traverse Resort & Spa - The Bear,Acme,Acme,Michigan,Michigan,US,US
10038,410_left,8050_right,1.1209676702215272,2,Grand Traverse Resort and Spa (The Bear),Grand Traverse Resort & Spa - The Wolverine,Acme,Acme,Michigan,Michigan,US,US
10039,410_left,8416_right,-0.4863351664730134,3,Grand Traverse Resort and Spa (The Bear),The Loon Golf Resort - Loon Course,Acme,Gaylord,Michigan,Michigan,US,US
10040,410_left,8428_right,-0.4863351664730134,4,Grand Traverse Resort and Spa (The Bear),The Loon Golf Resort - Loon Course,Acme,Gaylord,Michigan,Michigan,US,US
10041,410_left,8442_right,-0.5161129020535526,5,Grand Traverse Resort and Spa (The Bear),The Homestead Resort,Acme,Glen Arbor,Michigan,Michigan,US,US
10049,411_left,1513_right,1.4463026564689585,1,Pelican Hill Golf Club (Ocean North),Pelican Hill Golf Club - The Ocean North,Newport Coast,Newport Coast,California,California,US,US
10050,412_left,4681_right,0.4867838006385878,1,Poipu Bay Golf Course,Poipu Bay Resort Golf Course,Kauai,Koloa,Hawaii,Hawaii,US,US
10051,413_left,12170_right,1.474901238986483,1,Kaluhyat Golf Club at Turning Stone Resort,Kaluhyat Golf Club at Turning Stone,Verona,Verona,New York,New York,US,US
10052,413_left,12172_right,0.7966535243844254,2,Kaluhyat Golf Club at Turning Stone Resort,Shenendoah Golf Club at Turning Stone,Verona,Verona,New York,New York,US,US
10053,413_left,11908_right,-0.5072989274444931,3,Kaluhyat Golf Club at Turning Stone Resort,The Golf Club at Middle Bay,Verona,Oceanside,New York,New York,US,US
10054,413_left,11863_right,-0.5277669703981958,4,Kaluhyat Golf Club at Turning Stone Resort,The Golf Club at Mansion Ridge,Verona,Monroe,New York,New York,US,US
10055,413_left,11809_right,-0.586361551403561,5,Kaluhyat Golf Club at Turning Stone Resort,The Golf Club at Blue Heron Hills,Verona,Macedon,New York,New York,US,US
10057,414_left,5765_right,1.9596820643029453,1,The Donald Ross Course at French Lick Resort,French Lick Resort - Donald Ross Course,French Lick,French Lick,Indiana,Indiana,US,US
10058,414_left,6048_right,-0.6030204176884452,2,The Donald Ross Course at French Lick Resort,The Course at Aberdeen,French Lick,Valparaiso,Indiana,Indiana,US,US
10059,414_left,5853_right,-0.7866055614017193,3,The Donald Ross Course at French Lick Resort,The Fort Golf Course,French Lick,Indianapolis,Indiana,Indiana,US,US
